Date,Open,High,Low,Close,Adj Close,Volume
2010-01-05,4.474000,4.480000,4.410000,4.452000,4.154450,76000
2010-01-06,4.480000,4.482000,4.470000,4.482000,4.182445,56000
2010-01-07,4.298000,4.300000,4.254000,4.300000,4.012608,49500
2010-01-08,4.290000,4.360000,4.290000,4.358000,4.066732,26000
2010-01-11,4.440000,4.444000,4.426000,4.444000,4.146984,134000
2010-01-12,4.390000,4.390000,4.330000,4.366000,4.074198,67000
2010-01-13,4.370000,4.450000,4.370000,4.450000,4.152584,35000
2010-01-14,4.490000,4.500000,4.470000,4.488000,4.188044,271500
2010-01-15,4.520000,4.554000,4.468000,4.510000,4.208574,70000
2010-01-19,4.190000,4.226000,4.130000,4.224000,3.941687,165000
2010-01-20,4.020000,4.032000,3.924000,3.960000,3.695333,1448500
2010-01-21,3.928000,3.928000,3.900000,3.900000,3.639342,61500
2010-01-22,3.878000,3.880000,3.770000,3.770000,3.518031,291500
2010-01-25,3.792000,3.872000,3.792000,3.872000,3.613214,230000
2010-01-26,3.700000,3.730000,3.690000,3.690000,3.443377,73000
2010-01-27,3.668000,3.668000,3.600000,3.630000,3.387388,90000
2010-01-28,3.710000,3.778000,3.698000,3.700000,3.452709,174000
2010-01-29,3.778000,3.780000,3.722000,3.760000,3.508699,27000
2010-02-01,3.678000,3.692000,3.660000,3.660000,3.415383,38000
2010-02-02,3.662000,3.710000,3.662000,3.710000,3.462041,26500
2010-02-03,3.904000,3.904000,3.850000,3.894000,3.633743,38000
2010-02-04,3.786000,3.786000,3.642000,3.642000,3.398586,134500
2010-02-05,3.596000,3.596000,3.500000,3.518000,3.282873,302500
2010-02-08,3.578000,3.578000,3.514000,3.514000,3.279141,97500
2010-02-09,3.492000,3.510000,3.490000,3.510000,3.275409,31000
2010-02-10,3.554000,3.588000,3.530000,3.588000,3.348195,95000
2010-02-11,3.712000,3.768000,3.712000,3.768000,3.516164,40500
2010-02-12,3.800000,3.800000,3.750000,3.752000,3.501234,104500
2010-02-16,3.800000,3.892000,3.800000,3.836000,3.579620,56500
2010-02-17,3.868000,3.920000,3.860000,3.880000,3.620680,58500
2010-02-18,3.880000,3.900000,3.820000,3.900000,3.639342,80000
2010-02-19,3.710000,3.756000,3.654000,3.744000,3.493769,76000
2010-02-22,3.878000,3.878000,3.850000,3.878000,3.618813,386500
2010-02-23,3.880000,3.880000,3.850000,3.862000,3.603882,21000
2010-02-24,3.836000,3.880000,3.836000,3.860000,3.602016,40000
2010-02-25,3.764000,3.828000,3.764000,3.824000,3.568422,126000
2010-02-26,3.880000,3.902000,3.880000,3.902000,3.641209,17500
2010-03-01,4.000000,4.000000,3.966000,3.972000,3.706530,28000
2010-03-02,4.108000,4.110000,4.068000,4.096000,3.822243,56000
2010-03-03,4.076000,4.110000,4.064000,4.066000,3.794248,39500
2010-03-04,3.994000,4.000000,3.972000,3.984000,3.717729,62000
2010-03-05,4.100000,4.110000,4.080000,4.110000,3.835307,43000
2010-03-08,4.130000,4.140000,4.114000,4.114000,3.839040,117500
2010-03-09,4.140000,4.140000,4.100000,4.110000,3.835307,61500
2010-03-10,4.180000,4.250000,4.180000,4.182000,3.902495,186000
2010-03-11,4.232000,4.236000,4.210000,4.210000,3.928624,44000
2010-03-12,4.210000,4.210000,4.170000,4.188000,3.908094,58000
2010-03-15,4.358000,4.360000,4.276000,4.300000,4.012608,49500
2010-03-16,4.242000,4.320000,4.242000,4.300000,4.012608,56000
2010-03-17,4.290000,4.340000,4.290000,4.340000,4.049936,113500
2010-03-18,4.080000,4.080000,4.032000,4.078000,3.805446,436000
2010-03-19,4.060000,4.060000,4.010000,4.034000,3.764386,225500
2010-03-22,4.058000,4.102000,4.002000,4.102000,3.827843,229000
2010-03-23,4.108000,4.126000,4.050000,4.126000,3.850238,160500
2010-03-24,4.128000,4.128000,4.056000,4.066000,3.794248,190500
2010-03-25,4.100000,4.108000,4.056000,4.080000,3.807312,108000
2010-03-26,4.066000,4.120000,4.058000,4.118000,3.842772,170500
2010-03-29,4.150000,4.150000,4.090000,4.146000,3.868901,95000
2010-03-30,4.088000,4.088000,4.042000,4.076000,3.803580,122000
2010-03-31,4.038000,4.038000,4.006000,4.018000,3.749456,31500
2010-04-01,4.006000,4.006000,3.978000,3.986000,3.719595,57000
2010-04-05,3.960000,4.040000,3.960000,4.040000,3.769985,29500
2010-04-06,3.998000,4.040000,3.998000,4.040000,3.769985,76500
2010-04-07,4.048000,4.048000,3.988000,3.988000,3.721461,76000
2010-04-08,4.040000,4.110000,4.040000,4.110000,3.835307,130000
2010-04-09,4.160000,4.192000,4.156000,4.158000,3.880099,97500
2010-04-12,4.188000,4.190000,4.142000,4.146000,3.868901,195000
2010-04-13,4.168000,4.168000,4.110000,4.130000,3.853971,177500
2010-04-14,4.170000,4.180000,4.166000,4.170000,3.891297,74500
2010-04-15,4.148000,4.148000,4.100000,4.112000,3.837173,41000
2010-04-16,4.060000,4.098000,4.010000,4.012000,3.743857,28500
2010-04-19,4.008000,4.010000,3.980000,4.010000,3.741991,16500
2010-04-20,4.068000,4.068000,4.022000,4.050000,3.779317,38000
2010-04-21,4.064000,4.064000,4.020000,4.020000,3.751322,13000
2010-04-22,4.040000,4.050000,4.022000,4.050000,3.779317,25000
2010-04-23,4.194000,4.210000,4.160000,4.210000,3.928624,4925000
2010-04-26,4.266000,4.266000,4.234000,4.252000,3.967816,196000
2010-04-27,4.162000,4.162000,4.054000,4.060000,3.788649,384000
2010-04-28,4.082000,4.140000,4.072000,4.140000,3.863302,96500
2010-04-29,4.158000,4.180000,4.126000,4.180000,3.900628,120500
2010-04-30,4.200000,4.200000,4.138000,4.138000,3.861435,34500
2010-05-03,4.278000,4.300000,4.222000,4.298000,4.020847,50500
